00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 14~8 850~Белгород "Батарейка"
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~Богородицк "Батарейка"
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Воронеж "Батарейка" Антонова-Овсеенко
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Воронеж "Батарейка" Дорожная
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Воронеж "Батарейка" Каменка
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Курск "Батарейка" Новосёловка
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Курск "Аккумуляторный Мир" Сумская
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Мичуринск "Аккумуляторный Мир"
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 5~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Брянск "Батарейка" Костычева
